project,month,label,active_devs,num_files,num_commits,c_percentage,inactive_c,c_nodes,c_edges,c_c_coef,c_mean_degree,c_long_tail
864,1,sustainable,1,22,55,1.0,0.7857142857142857,0,0,0.0,0.0,0
864,2,sustainable,5,21,45,0.9777777777777776,0.5217391304347826,2,1,0.0,1.0,0
864,3,sustainable,6,41,87,0.9540229885057472,0.3809523809523809,2,1,0.0,1.0,0
864,4,sustainable,9,17,45,0.8,0.6111111111111112,5,10,1.0,4.0,0
864,5,sustainable,2,16,22,1.0,0.9285714285714286,0,0,0.0,0.0,0
864,6,sustainable,2,3,3,1.0,0.0,0,0,0.0,0.0,0
864,7,sustainable,7,14,36,0.6944444444444444,0.7058823529411765,2,1,0.0,1.0,0
864,8,sustainable,7,4,6,0.6666666666666666,0.85,3,2,0.0,1.3333333333333333,1
864,9,sustainable,5,10,23,0.6086956521739131,0.6111111111111112,3,3,1.0,2.0,0
864,10,sustainable,10,9,20,0.7,0.6153846153846154,3,2,0.0,1.3333333333333333,1
864,11,sustainable,22,16,25,0.76,0.6666666666666666,3,2,0.0,1.3333333333333333,1
864,12,sustainable,12,27,45,0.7111111111111111,0.5925925925925926,5,7,0.7,2.8,4
864,13,sustainable,13,25,61,0.639344262295082,0.72,3,3,1.0,2.0,0
864,14,sustainable,15,43,64,0.890625,0.5862068965517241,4,3,0.0,1.5,1
864,15,sustainable,8,16,18,1.0,0.0,0,0,0.0,0.0,0
864,16,sustainable,10,60,76,0.8815789473684209,0.8125,3,2,0.0,1.3333333333333333,1
864,17,sustainable,15,69,118,0.652542372881356,0.3478260869565217,3,2,0.0,1.3333333333333333,1
864,18,sustainable,16,15,23,0.9565217391304348,0.6111111111111112,0,0,0.0,0.0,0
864,19,sustainable,17,26,44,0.8636363636363636,0.5833333333333334,2,1,0.0,1.0,0
864,20,sustainable,15,17,32,0.71875,0.4814814814814814,6,4,0.0,1.3333333333333333,1
864,21,sustainable,18,12,19,0.5789473684210527,0.6956521739130435,2,1,0.0,1.0,0
